1$$$$$$$$$$$$$$
2$Au5.g8520_t1$$$$$$$$$$$$$
3$Au5.g6629_t1$Au5.g9246_t1$$$$$$$$$$$$
4$Au5.g2028_t1$$$$$$$$$$$$$
5$$$$$$$$$$$$$$
6$$$$$$$$$$$$$$
7$Au5.g7580_t1$$$$$$$$$$$$$
8$Au5.g10656_t1$Au5.g11094_t1$Au5.g11738_t1$Au5.g15248_t1$Au5.g774_t1$$$$$$$$$
9$Au5.g2861_t1$$$$$$$$$$$$$
10$$$$$$$$$$$$$$
11$Au5.g9759_t1$Au5.g11226_t1$Au5.g13328_t1$Au5.g14442_t1$Au5.g84_t1$Au5.g308_t1$Au5.g3309_t1$Au5.g3784_t1$Au5.g4273_t1$$$$$
12$Au5.g1719_t1$Au5.g1737_t1$Au5.g8562_t1$Au5.g10547_t1$Au5.g13919_t1$Au5.g3759_t1$$$$$$$$
13$Au5.g9657_t1$Au5.g2709_t1$Au5.g9414_t1$$$$$$$$$$$
14$Au5.g12035_t1$Au5.g14042_t1$$$$$$$$$$$$
15$Au5.g15305_t1$$$$$$$$$$$$$
16$Au5.g1279_t1$Au5.g11573_t1$Au5.g11600_t1$Au5.g4476_t1$$$$$$$$$$
17$Au5.g10755_t1$Au5.g12858_t1$Au5.g4507_t1$Au5.g6002_t1$$$$$$$$$$
18$Au5.g4507_t1$Au5.g6002_t1$Au5.g15337_t1$$$$$$$$$$$
19$Au5.g8449_t1$Au5.g12571_t1$Au5.g12674_t1$Au5.g14253_t1$Au5.g2142_t1$$$$$$$$$
20$Au5.g4519_t1$Au5.g7580_t1$$$$$$$$$$$$
21$Au5.g8436_t1$$$$$$$$$$$$$
22$$$$$$$$$$$$$$
23$Au5.g2759_t1$Au5.g3044_t1$Au5.g3447_t1$Au5.g6208_t1$Au5.g6337_t1$Au5.g7079_t1$Au5.g12399_t1$$$$$$$
24$Au5.g2028_t1$Au5.g15792_t1$$$$$$$$$$$$
25$Au5.g12146_t1$$$$$$$$$$$$$
26$Au5.g1622_t1$Au5.g15363_t1$Au5.g503_t1$Au5.g8104_t1$$$$$$$$$$
27$Au5.g6787_t1$Au5.g7691_t1$$$$$$$$$$$$
28$Au5.g15305_t1$Au5.g774_t1$$$$$$$$$$$$
29$Au5.g1303_t1$$$$$$$$$$$$$
30$$$$$$$$$$$$$$
31$Au5.g8280_t1$Au5.g9759_t1$Au5.g12205_t1$Au5.g4232_t1$$$$$$$$$$
32$Au5.g6947_t1$Au5.g9414_t1$$$$$$$$$$$$
33$Au5.g10758_t1$Au5.g960_t2$Au5.g7762_t1$Au5.g1886_t1$Au5.g2142_t1$$$$$$$$$
34$$$$$$$$$$$$$$
35$Au5.g1224_t1$Au5.g14731_t1$Au5.g3675_t1$Au5.g4640_t1$Au5.g10803_t1$$$$$$$$$
36$Au5.g14176_t1$$$$$$$$$$$$$
37$Au5.g8280_t1$Au5.g10365_t1$Au5.g12571_t1$Au5.g7726_t1$Au5.g233_t1$$$$$$$$$
38$Au5.g13848_t1$Au5.g494_t1$Au5.g498_t2$Au5.g2872_t1$Au5.g5379_t1$$$$$$$$$
39$Au5.g14019_t1$Au5.g14760_t1$Au5.g15693_t1$Au5.g3600_t1$Au5.g4905_t1$Au5.g6229_t1$Au5.g7556_t1$$$$$$$
40$Au5.g8580_t1$Au5.g14355_t1$Au5.g14558_t1$Au5.g9408_t1$$$$$$$$$$
41$Au5.g8330_t1$Au5.g8620_t1$Au5.g12448_t1$Au5.g12748_t1$Au5.g14241_t1$Au5.g15418_t1$Au5.g3289_t1$Au5.g3806_t1$Au5.g1301_t1$$$$$
42$Au5.g8946_t1$Au5.g6833_t1$Au5.g12367_t1$$$$$$$$$$$
43$Au5.g2782_t1$$$$$$$$$$$$$
44$Au5.g7318_t1$$$$$$$$$$$$$
45$Au5.g7939_t1$$$$$$$$$$$$$
46$Au5.g8562_t1$Au5.g12858_t1$$$$$$$$$$$$
47$Au5.g1969_t1$Au5.g14176_t1$$$$$$$$$$$$
